t_wall,id,putio_status,lifecycle_state,percent_done,putio_pct,local_present,local_dl,local_total
9.27,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.33,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.33,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.33,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.39,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.39,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.39,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.45,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.45,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.45,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.51,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.51,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.51,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.57,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.57,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.57,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.63,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.63,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.63,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.68,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.68,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.68,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.75,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.75,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.75,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.81,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.81,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.81,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.87,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.87,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.87,4003,COMPLETED,Processed,1,100,True,15136000,15136000
9.93,4001,COMPLETED,Processed,1,100,True,12000000,12000000
9.93,4002,COMPLETED,Processed,1,100,True,40000000,40000000
9.93,4003,COMPLETED,Processed,1,100,True,15136000,15136000
